time_signature,track_popularity,speechiness,danceability,playlist_name,track_artist,duration_ms,energy,playlist_genre,playlist_subgenre,track_href,track_name,mode,uri,type,track_album_release_date,analysis_url,id,instrumentalness,track_album_id,playlist_id,track_id,valence,key,tempo,loudness,acousticness,liveness,track_album_name,Popularity_Type,year,duration_min,release_year,song_age,energy_danceability_ratio,valence_energy_product,is_2000s_or_earlier
3.0,53,-0.4755283383209953,-0.5504448373340463,Jazz Classics,Gene Ammons,252947.0,-2.211247259935191,jazz,classic,https://api.spotify.com/v1/tracks/6rK27cC9hX0e1Chrnxo9Vn,My Romance - Remastered 2006,1.0,spotify:track:6rK27cC9hX0e1Chrnxo9Vn,audio_features,2006-03-21,https://api.spotify.com/v1/audio-analysis/6rK27cC9hX0e1Chrnxo9Vn,6rK27cC9hX0e1Chrnxo9Vn,2.068727687579447,04l5TDoVZFNPvExGNdVjOj,37i9dQZF1DXbITWG1ZJKYt,6rK27cC9hX0e1Chrnxo9Vn,-0.3291720292036749,1.0,0.4267573003176008,-0.20990954178522284,1.9203508258592523,-0.3505419115953821,Boss Tenor (RVG Remasters / Remastered 2006),Low,2006,4.215783333333333,2006,1.0034040453856916,0.08130864530548546,0.0167534,0
4.0,53,-0.4438518214649345,0.19548099470941693,Jazz Classics,Coleman Hawkins,182360.0,-1.9237194835757732,jazz,classic,https://api.spotify.com/v1/tracks/2xm9ihELo6xwrRKrBbPql9,Body and Soul,0.0,spotify:track:2xm9ihELo6xwrRKrBbPql9,audio_features,1996-05-21,https://api.spotify.com/v1/audio-analysis/2xm9ihELo6xwrRKrBbPql9,2xm9ihELo6xwrRKrBbPql9,1.9294763445063192,6Ieo4Lrku0sQ63Pd9G8j3L,37i9dQZF1DXbITWG1ZJKYt,2xm9ihELo6xwrRKrBbPql9,0.9924838826232217,10.0,-0.8139798963065173,-1.0484965758917928,1.9510871093715265,0.09152131601050806,Body & Soul,Low,1996,3.0393333333333334,1996,1.9356587799392764,0.1714693251999211,0.083394,1
4.0,52,-0.6744964598231272,-0.6250374205383926,Jazz Classics,Stanley Turrentine,295200.0,-1.736907651477846,jazz,classic,https://api.spotify.com/v1/tracks/7ysmJhXFQtiBQlk6EZ6sks,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,0.0,spotify:track:7ysmJhXFQtiBQlk6EZ6sks,audio_features,2007-01-01,https://api.spotify.com/v1/audio-analysis/7ysmJhXFQtiBQlk6EZ6sks,7ysmJhXFQtiBQlk6EZ6sks,-0.5352724278880465,21YbbJrVCRQIxB5W2EKIbr,37i9dQZF1DXbITWG1ZJKYt,7ysmJhXFQtiBQlk6EZ6sks,-1.1082126106617578,7.0,-2.065415219891039,-0.27401698149527665,1.8588782588347037,0.35675925257404223,Look Out! (Remastered),Low,2007,4.92,2007,0.910178571930333,0.3148452505890973,0.031164,0
4.0,50,-0.6744964598231272,-0.5611009206489529,Jazz Classics,Esbjörn Svensson Trio,267173.0,-2.0102214840906827,jazz,classic,https://api.spotify.com/v1/tracks/72PqmnVj86bfTnkFiQ9Mx9,Where We Used to Live,1.0,spotify:track:72PqmnVj86bfTnkFiQ9Mx9,audio_features,2006-09-22,https://api.spotify.com/v1/audio-analysis/72PqmnVj86bfTnkFiQ9Mx9,72PqmnVj86bfTnkFiQ9Mx9,1.216168444274582,1FXFyWXLIdOVgjR0MaRa9y,37i9dQZF1DXbITWG1ZJKYt,72PqmnVj86bfTnkFiQ9Mx9,-1.5438552044721483,0.0,-0.8138045171760191,-1.2784136299066253,1.643724274248784,-0.4791421232625502,Tuesday Wonderland,Low,2006,4.452883333333333,2006,1.0034040453856916,0.1773660083944218,0.007666119999999999,0
4.0,49,-0.6794459155818867,-1.1205452946815504,Jazz Classics,Roy Hargrove,372493.0,-1.5907070872272948,jazz,classic,https://api.spotify.com/v1/tracks/1czzmAtPTw287TyMQEfCfg,Ruby My Dear,1.0,spotify:track:1czzmAtPTw287TyMQEfCfg,audio_features,1994-08-16,https://api.spotify.com/v1/audio-analysis/1czzmAtPTw287TyMQEfCfg,1czzmAtPTw287TyMQEfCfg,1.443517575822546,1OGhqJimAFVAtyX7PKbakD,37i9dQZF1DXbITWG1ZJKYt,1czzmAtPTw287TyMQEfCfg,-1.5663349824445707,8.0,0.5488913267967,-0.14117289964534002,1.7174913546782422,-0.4952171497209462,Approaching Standards,Low,1994,6.208216666666667,1994,2.1221097268499935,0.47328948326496934,0.015170999999999999,1
4.0,49,-0.4131651957606256,-1.0939050863942839,Jazz Classics,John Coltrane,287844.0,-0.6769535606613487,jazz,classic,https://api.spotify.com/v1/tracks/1ZXu0ib26kWfQQngREMcU2,Giant Steps - 2020 Remaster,0.0,spotify:track:1ZXu0ib26kWfQQngREMcU2,audio_features,2020-09-18,https://api.spotify.com/v1/audio-analysis/1ZXu0ib26kWfQQngREMcU2,1ZXu0ib26kWfQQngREMcU2,-0.5682096333210578,4jTDjHLMFCHWrjuP1qmCf4,37i9dQZF1DXbITWG1ZJKYt,1ZXu0ib26kWfQQngREMcU2,0.13592682539816558,0.0,1.0127691269650192,-0.528061999689823,-0.47707928809814026,0.1397463953856961,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],Low,2020,4.7974,2020,-0.3017525829893275,1.0071700918443203,0.21714,0
4.0,49,-0.3864381346633243,-0.5611009206489529,Jazz Classics,Dave Brubeck,354573.0,-1.2739391980177668,jazz,classic,https://api.spotify.com/v1/tracks/1GZD0TZJHmdQaZsucHBmWT,Besame Mucho,0.0,spotify:track:1GZD0TZJHmdQaZsucHBmWT,audio_features,2001-04-02,https://api.spotify.com/v1/audio-analysis/1GZD0TZJHmdQaZsucHBmWT,1GZD0TZJHmdQaZsucHBmWT,1.6282387452052667,5LiPzuR79DTTmyROUm2luC,37i9dQZF1DXbITWG1ZJKYt,1GZD0TZJHmdQaZsucHBmWT,-0.6237346371181739,10.0,-1.9237790341005154,-1.1218624204615044,1.6129879907365097,6.52153189936891,On Time,Low,2001,5.90955,2001,1.469531412662484,0.5280362081971336,0.087633,0
3.0,49,-0.6893448270994057,-0.7742225869470853,Jazz Classics,Mary Lou Williams,280481.0,-1.4201397622683183,jazz,classic,https://api.spotify.com/v1/tracks/2qswPLZD9CbUoSidGNyxwm,It Ain't Necessarily So,0.0,spotify:track:2qswPLZD9CbUoSidGNyxwm,audio_features,2016-04-15,https://api.spotify.com/v1/audio-analysis/2qswPLZD9CbUoSidGNyxwm,2qswPLZD9CbUoSidGNyxwm,1.9891554915376597,6VflpBTIdO5wvutZII2Grw,37i9dQZF1DXbITWG1ZJKYt,2qswPLZD9CbUoSidGNyxwm,-1.1779774388520339,4.0,0.2789477691335324,-1.09885668717387,1.861951887185931,-0.5643397634920491,Gilles Peterson - Magic Peterson Sunshine,Low,2016,4.674683333333333,2016,0.0711493108321065,0.49684492987568396,0.042185999999999994,0
4.0,60,-0.5656084331304181,-2.068936709708239,Classical Essentials,"Johann Sebastian Bach, Lang Lang",139307.0,-1.870924835374185,classical,essential,https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU,"The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",1.0,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,audio_features,2019-03-29,https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU,4SFBV7SRNG2e2kyL1F6kjU,1.9749461708159122,1XORY4rQNhqkZxTze6Px90,37i9dQZF1DWWEJlAGA9gs0,4SFBV7SRNG2e2kyL1F6kjU,-1.0306961348947845,0.0,0.5516973928846741,-2.264854584044698,1.991044277937483,-0.5273672026377383,Piano Book (Deluxe Edition),Low,2019,2.3217833333333333,2019,-0.20852710953396902,0.5384385282680226,0.027216,0
3.0,63,-0.5656084331304181,-1.7758944185483072,Classical Essentials,"Ludwig van Beethoven, Igor Levit",212067.0,-2.2583563306381462,classical,essential,https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",0.0,spotify:track:3zLTPuucd3e6TxZnu2dlVS,audio_features,2015-01-01,https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS,3zLTPuucd3e6TxZnu2dlVS,2.017574132981155,230jpjk9w7MGupNMMvXoaN,37i9dQZF1DWWEJlAGA9gs0,3zLTPuucd3e6TxZnu2dlVS,-1.4105268661529542,9.0,0.2574813635605261,-3.01717011832264,1.9848970212350283,-0.5273672026377383,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",Low,2015,3.53445,2015,0.164374784287465,0.1058786893187087,0.0036107999999999995,0
